title,release_year,score,main_genre
White Christmas,1954,7.5,romance
The Guns of Navarone,1961,7.5,war
My Fair Lady,1964,7.8,drama
Bonnie and Clyde,1967,7.7,drama
Dirty Harry,1971,7.7,thriller
The Exorcist,1973,8.1,horror
Monty Python and the Holy Grail,1975,8.2,comedy
Taxi Driver,1976,8.3,crime
Life of Brian,1979,8.0,comedy
The Blue Lagoon,1980,5.8,romance
Annie,1982,6.6,drama
Christine,1983,6.7,horror
Once Upon a Time in America,1984,8.3,drama
Stand by Me,1986,8.1,drama
Full Metal Jacket,1987,8.3,drama
When Harry Met Sally...,1989,7.7,romance
Awakenings,1990,7.8,drama
My Girl,1991,6.9,comedy
A River Runs Through It,1992,7.2,drama
Menace II Society,1993,7.5,drama
Forrest Gump,1994,8.8,drama
Desperado,1995,7.1,thriller
Happy Gilmore,1996,7.0,comedy
Neon Genesis Evangelion: The End of Evangelion,1997,8.0,scifi
Saving Private Ryan,1998,8.6,drama
"Girl, Interrupted",1999,7.3,drama
The Patriot,2000,7.2,drama
Lagaan: Once Upon a Time in India,2001,8.1,drama
Road to Perdition,2002,7.7,thriller
Big Fish,2003,8.0,drama
Swades,2004,8.1,drama
Memoirs of a Geisha,2005,7.3,drama
Rang De Basanti,2006,8.1,comedy
Like Stars on Earth,2007,8.3,drama
Ip Man,2008,8.0,drama
3 Idiots,2009,8.4,comedy
Inception,2010,8.8,scifi
Warrior,2011,8.2,drama
Django Unchained,2012,8.4,western
Rush,2013,8.1,drama
Queen,2014,8.2,drama
Drishyam,2015,8.2,thriller
Dangal,2016,8.4,action
Bāhubali 2: The Conclusion,2017,8.2,fantasy
Andhadhun,2018,8.2,thriller
Dave Chappelle: Sticks & Stones,2019,8.4,comedy
David Attenborough: A Life on Our Planet,2020,9.0,documentary
Bo Burnham: Inside,2021,8.7,comedy
The Tinder Swindler,2022,7.2,crime
