title,release_year,score,number_of_votes,duration,main_genre
David Attenborough: A Life on Our Planet,2020,9.0,31180,83,documentary
Inception,2010,8.8,2268288,148,scifi
Forrest Gump,1994,8.8,1994599,142,drama
Anbe Sivam,2003,8.7,20595,160,comedy
Bo Burnham: Inside,2021,8.7,44074,87,comedy
Saving Private Ryan,1998,8.6,1346020,169,drama
Django Unchained,2012,8.4,1472668,165,western
Dangal,2016,8.4,180247,161,action
Bo Burnham: Make Happy,2016,8.4,14356,60,comedy
Louis C.K.: Hilarious,2010,8.4,11973,84,comedy
Dave Chappelle: Sticks & Stones,2019,8.4,25687,65,comedy
3 Idiots,2009,8.4,385782,170,comedy
Black Friday,2004,8.4,20611,143,crime
Super Deluxe,2019,8.4,13680,176,thriller
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,17710,98,documentary
Once Upon a Time in America,1984,8.3,342335,229,drama
Taxi Driver,1976,8.3,795222,113,crime
Like Stars on Earth,2007,8.3,188234,165,drama
Bo Burnham: What.,2013,8.3,11488,60,comedy
Full Metal Jacket,1987,8.3,723306,116,drama
Warrior,2011,8.2,463276,140,drama
Drishyam,2015,8.2,79075,163,thriller
Queen,2014,8.2,64805,146,drama
Paan Singh Tomar,2012,8.2,35888,135,drama
Cowspiracy: The Sustainability Secret,2014,8.2,24845,90,documentary
Virunga,2014,8.2,11403,90,war
PK,2014,8.2,178012,153,comedy
Bāhubali 2: The Conclusion,2017,8.2,91560,168,fantasy
Monty Python and the Holy Grail,1975,8.2,530877,91,comedy
Article 15,2019,8.2,32336,130,crime
Miracle in Cell No. 7,2019,8.2,46939,132,drama
13th,2016,8.2,34914,100,documentary
Andhadhun,2018,8.2,88359,139,thriller
Bill Burr: Paper Tiger,2019,8.1,10649,67,comedy
Udaan,2010,8.1,44556,138,drama
How to Train Your Dragon,2010,8.1,719717,98,fantasy
Klaus,2019,8.1,141480,97,comedy
Swades,2004,8.1,89085,189,drama
Minnal Murali,2021,8.1,24681,158,action
Rang De Basanti,2006,8.1,118092,157,comedy
