title,release_year,score,number_of_votes,duration,number_of_seasons,main_genre
Breaking Bad,2008,9.5,1727694,48,5,drama
Avatar: The Last Airbender,2005,9.3,297336,24,3,scifi
Our Planet,2019,9.3,41386,50,1,documentary
Kota Factory,2019,9.3,66985,42,2,drama
The Last Dance,2020,9.1,108321,50,1,documentary
Arcane,2021,9.1,175412,41,1,action
Attack on Titan,2013,9.0,325381,24,4,scifi
Hunter x Hunter,2011,9.0,87857,23,3,drama
DEATH NOTE,2006,9.0,302147,24,1,scifi
Seinfeld,1989,8.9,302700,24,9,comedy
Cowboy Bebop,1998,8.9,112887,25,1,western
Heartstopper,2022,8.9,28978,28,1,drama
When They See Us,2019,8.9,114127,74,1,drama
Monty Python's Flying Circus,1969,8.8,72895,30,4,comedy
BoJack Horseman,2014,8.8,143584,26,6,drama
Chappelle's Show,2003,8.8,62140,21,3,comedy
Better Call Saul,2015,8.8,404920,49,6,comedy
Narcos,2015,8.8,404486,52,3,drama
One Piece,1999,8.8,112586,23,21,action
Peaky Blinders,2013,8.8,485506,58,6,drama
Anne with an E,2017,8.7,51001,46,3,drama
Dark,2017,8.7,354443,56,3,scifi
House of Cards,2013,8.7,494092,52,6,drama
Demon Slayer: Kimetsu no Yaiba,2019,8.7,88265,25,3,animation
Stranger Things,2016,8.7,989090,52,5,scifi
One-Punch Man,2015,8.7,148386,24,2,action
The Crown,2016,8.7,190878,56,5,drama
Arrested Development,2003,8.7,297552,28,5,comedy
Friday Night Lights,2006,8.7,64449,43,5,drama
Downton Abbey,2010,8.7,197744,58,6,drama
Code Geass: Lelouch of the Rebellion,2006,8.7,62367,24,3,scifi
Trailer Park Boys,2001,8.6,41791,25,12,comedy
Mindhunter,2017,8.6,261429,53,2,crime
The Haunting of Hill House,2018,8.6,226817,58,1,drama
The Queen's Gambit,2020,8.6,406350,56,1,drama
Cobra Kai,2018,8.6,163858,31,5,action
Wentworth,2013,8.6,21747,46,9,drama
It's Okay to Not Be Okay,2020,8.6,21104,76,1,drama
Making a Murderer,2015,8.6,93456,62,2,crime
Shameless,2011,8.6,230243,54,11,drama
Sacred Games,2018,8.6,85088,50,2,action
Formula 1: Drive to Survive,2019,8.6,36661,38,6,documentary
Queer Eye,2018,8.5,18147,47,6,reality
Community,2009,8.5,252564,23,6,comedy
The Last Kingdom,2015,8.5,126473,55,5,action
Schitt's Creek,2015,8.5,112537,22,6,comedy
Neon Genesis Evangelion,1995,8.5,64727,24,1,scifi
Call the Midwife,2012,8.5,25562,56,11,drama
The IT Crowd,2006,8.5,147409,25,5,comedy
ERASED,2016,8.5,42699,22,1,drama
Supernatural,2005,8.5,428639,45,15,scifi
Ozark,2017,8.5,278223,60,4,crime
Delhi Crime,2019,8.5,18732,27,1,drama
After Life,2019,8.5,124972,28,3,comedy
Hilda,2018,8.5,10162,25,2,scifi
Borgen,2010,8.5,23523,58,4,drama
Ash vs Evil Dead,2015,8.4,70087,30,3,action
Heartland,2007,8.4,15743,44,15,drama
Unbelievable,2019,8.4,95658,48,1,drama
The Promised Neverland,2019,8.4,34730,23,2,scifi
Derry Girls,2018,8.4,28718,25,3,comedy
Innocent,2017,8.4,17727,51,1,drama
Trollhunters: Tales of Arcadia,2016,8.4,16509,22,3,action
Outlander,2014,8.4,152435,60,6,scifi
The Legend of Korra,2012,8.4,117464,23,4,action
The Dark Crystal: Age of Resistance,2019,8.4,24164,51,1,scifi
Vincenzo,2021,8.4,15134,81,1,action
Top Boy,2011,8.4,22420,48,2,drama
Babylon Berlin,2017,8.4,23256,49,4,crime
Stargate SG-1,1997,8.4,90196,44,10,scifi
Violet Evergarden,2018,8.4,19940,25,1,drama
Narcos: Mexico,2018,8.4,80902,56,3,drama
The Dragon Prince,2018,8.4,21635,27,3,scifi
Maid,2021,8.4,74955,54,1,drama
Car Masters: Rust to Riches,2018,8.4,10024,39,3,reality
Naruto,2002,8.4,93980,23,6,scifi
The Originals,2013,8.3,131574,43,5,scifi
Fauda,2015,8.3,25239,40,3,war
Sex Education,2019,8.3,251168,52,4,drama
Kingdom,2019,8.3,43760,48,2,action
Money Heist,2017,8.3,450797,50,5,crime
Young Royals,2021,8.3,26732,45,1,drama
Atypical,2017,8.3,81643,31,4,comedy
Gurren Lagann,2007,8.3,17024,24,1,scifi
30 Rock,2006,8.3,121514,25,7,comedy
Castlevania,2017,8.3,61114,26,4,scifi
Kim's Convenience,2016,8.3,16970,22,5,comedy
Master of None,2015,8.3,72341,32,3,drama
Longmire,2012,8.3,34362,53,6,western
Call My Agent!,2015,8.3,13331,55,4,comedy
The Get Down,2016,8.2,22304,62,2,drama
Sense8,2015,8.2,151518,62,2,scifi
One Day at a Time,2017,8.2,15669,29,4,comedy
The Kominsky Method,2018,8.2,38232,26,3,drama
Itaewon Class,2020,8.2,12030,69,1,drama
The Good Place,2016,8.2,148562,23,4,scifi
Grace and Frankie,2015,8.2,48435,30,7,comedy
